avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
8.88,25.49,2019-05-01,2019-04-08,Children's Books,St. Louis,This book is a gentle way to introduce the importance of friendship and activism to young humans.,97,"{1: 2, 5: 2, 8: 4, 12: 24, 21: 22, 35: 13, 55: 2, 100: 2}",1,2885,$,1500,125.73,1886,74,4,1,0,71,8,5,Audra Notgrass,12,1,MO,Funding Successful,Ellie Marches On
1.0,1.5,2019-05-02,2019-03-03,Pet Fashion,Sugar Hill,"I will be creating a brand centered around a character that symbolizes fashion, design and heroism.",99,{1: 1},0,526,$,10000,0.03,3,2,0,First created,0,1,1,0,Casey Wright,0,1,GA,Funding Unsuccessful,Red Panda by Casey Wright
215.75,51.71,2019-05-02,2019-04-16,Tabletop Games,Wilmington,Maximum Apocalypse Legendary Box with Survivor Miniatures!,58,"{1: 335, 5: 22, 39: 1, 129: 505}",0,4981,$,42500,347.38,147637,2855,918,1,6,863,4,7,Mike Gnade,22,1,DE,Funding Successful,Maximum Apocalypse: Legendary Edition with Miniatures
1.33,12.0,2019-05-02,2019-04-02,Digital Art,Ontario,"Pick Your Poison

I"", Soft Enamel Golden plated design with glitter detail.",75,"{1: 0, 12: 4, 21: 0}",0,877,$,600,12.0,72,6,0,First created,0,4,3,0,whimsicalScribe,1,0,CA,Funding Unsuccessful,Poison Apple Enamel Pins
2.6,114.2,2019-05-02,2019-04-09,Narrative Film,New York,A western feature film set during the Oregon gold rush.,55,"{5: 2, 15: 2, 25: 9, 50: 10, 75: 4, 100: 0, 150: 4, 200: 3, 250: 2, 500: 3, 1: 0, 2: 0, 4: 0, 10: 0}",0,3845,$,60000,9.52,5710,50,0,First created,0,39,15,1,Jordan Buttolph,8,1,NY,Funding Unsuccessful,Rogue Revolver
22.36,4.38,2019-05-01,2019-04-12,Tabletop Games,Sarasota,"A quick, fun fantasy card game of magic and fighting monsters",61,"{1: 1, 2: 230, 3: 7, 5: 8, 9: 52, 14: 4, 21: 2, 25: 3, 28: 0, 31: 3, 39: 3, 50: 0}",0,4147,$,200,688.0,1376,314,29,1,0,313,14,1,Marzo Projects,43,3,FL,Funding Successful,Arcane Guardian: Dungeon Crawler Solo Print and Play
0.0,1.0,2019-05-02,2019-03-03,Food,San Antonio,I'll use my Mexican skills to invent the best cricket tortillas. I will call them Cricketillas.,95,"{10: 0, 30: 0}",0,353,$,1000,0.2,2,2,0,First created,0,0,2,0,Jorge Gonzalez,1,0,TX,Funding Unsuccessful,Let's Invent Cricket Tortillas. Cricketillas.
3.29,72.73,2019-05-02,2019-04-02,Documentary,Los Angeles,"Ed Gale (Child's Play, Howard The Duck, Spaceballs) shares some of his favorite stories from his 30 years as an actor in Hollywood.",131,"{5: 2, 15: 4, 30: 5, 50: 4, 75: 5, 150: 1, 250: 2}",0,1902,$,7500,29.09,2182,30,4,4,0,23,7,3,Jason,3,1,CA,Funding Unsuccessful,"""Short Stories"" with Ed Gale"
2.33,6.88,2019-05-02,2019-03-13,Comics,Litchfield,"This is a small press, indie comic.",35,"{1: 0, 5: 2, 6: 5}",0,399,$,50,110.0,55,8,2,1,0,7,3,5,B.,1,0,CT,Funding Successful,"Crafted: A Comic Meditation, An Indie Comic"
0.0,1.0,2019-05-02,2019-03-03,Apparel,Los Angeles,"A clothing brand that motives and inspires you, with motivational words/quotes.",79,"{30: 0, 50: 0, 100: 0}",0,755,$,1500,0.07,1,1,0,1,0,0,3,0,Danny,1,0,CA,Cancelled by Creator,Keepushing Clothing
1.14,52.0,2019-05-02,2019-04-02,Nonfiction,Sarasota,Mastering the Art of Visualization,34,"{1: 0, 25: 4, 50: 3, 100: 1, 250: 0, 500: 0}",0,1024,$,8700,6.57,572,11,0,First created,0,8,7,2,Amanda Catarzi,1,0,FL,Funding Unsuccessful,Picture This
6.9,47.25,2019-05-02,2019-04-25,Tabletop Games,Nottingham,A new team arrives on the WTFF pitch - unique and characterful hand sculpted models for your Fantasy Football games!,116,"{1: 15, 5: 5, 40: 14, 45: 12, 52: 4, 59: 11, 85: 4, 115: 2, 120: 2, 160: 0}",0,2638,£,1000,335.5,3355,71,22,1,0,69,10,7,Warploque Miniatures,21,1,UK,Funding Successful,The Squeaky Blinders: Ratman Fantasy Football Team
3.27,32.69,2019-05-02,2019-04-02,Illustration,Durham,Mythical Creature Hard Enamel Pins,34,"{1: 0, 8: 9, 12: 4, 16: 10, 24: 10, 32: 7, 36: 1, 40: 0, 48: 4, 56: 0, 60: 0, 72: 1, 84: 3}",0,4261,$,300,555.67,1667,51,0,1,0,49,15,8,Amanda Moon,9,0,NC,Funding Successful,Mythical Creatures Hard Enamel Pins by Eclectic Scribbles!
1.6,88.31,2019-05-01,2019-04-01,Nonfiction,Los Angeles,"Learn how to flip through a book, store it within, access your Inner Genius & connect with other Like Minded Thinkers to Collaborate!",133,"{5: 2, 10: 2, 25: 1, 50: 0, 100: 3}",0,4130,$,500,229.6,1148,13,0,1,0,8,5,1,Teresa Moore,17,1,CA,Funding Successful,Unleash Your Inner Genius
11.55,291.89,2019-05-02,2019-04-02,Video Games,Uppsala,Solve puzzles by building smart contraptions and using the laws of physics. A reboot of the 2011 hit game Apparatus. For PC and mobile.,135,"{10: 7, 50: 4, 100: 54, 250: 31, 500: 24, 1: 6, 2: 0, 5: 0, 6: 1, 7: 0}",0,7695,kr,500000,7.59,37946,130,31,First created,0,127,11,3,Emil Romanus,1,0,Sweden,Cancelled by Creator,Apparatus
5.0,25.65,2019-05-02,2019-04-12,Illustration,San Diego,Kawaii hard enamel pins of evolutionary families!,49,"{11: 15, 12: 9, 22: 13, 24: 1, 33: 8, 36: 1, 44: 2, 48: 0, 55: 1, 60: 0}",0,875,$,275,485.09,1334,52,2,1,0,50,10,5,Kawaii-ne Pins,14,0,CA,Funding Successful,Kawaii Evolutions
0.0,13.0,2019-05-02,2019-04-02,DIY,Kalamazoo,Distinctive subscription box with activities you will actually do with your 9-15-year-olds. Why should preschoolers have all the fun?,133,"{5: 0, 20: 0, 30: 0, 65: 0, 75: 0, 300: 0}",0,1793,$,7000,0.37,26,2,0,2,0,0,6,3,Mackenzie Hatfield,0,1,MI,Cancelled by Creator,Owl Box: Reinvent family night with your tweens and teens!
38.75,53.04,2019-05-02,2019-04-02,Live Games,Netcong,"An UnShutupable trash-talking game, featuring the voice of Jon Lovitz!",70,"{29: 63, 36: 14, 49: 77, 250: 1}",0,2292,$,4000,222.77,8911,168,18,1,8,155,4,6,Breaking Toys,27,3,NJ,Funding Successful,Little Diablo
0.0,25.5,2019-05-02,2019-04-02,Web,Dallas,"How do I become a better me? Networking, Work, LifeStyle, Home, Dating? Never had a man show you? Blueprint of men . Let us show you.",133,"{50: 0, 100: 0, 150: 0, 500: 0}",0,859,$,4300,2.37,102,4,0,First created,0,0,4,0,Blueprint of Men,1,0,TX,Funding Unsuccessful,Blueprint Of Men
100.75,105.23,2019-05-02,2019-04-02,Product Design,Garland,A Bolt Action Knife - a knife that deploys by pushing on a bolt along the side of the body to advance and retract the blade.,124,"{69: 131, 79: 144, 89: 318, 99: 146, 169: 35, 179: 32}",0,6252,$,999,8594.99,85864,816,173,1,0,806,8,3,Will Hodges,25,1,TX,Funding Successful,Tactile Turn BAK - Bolt Action Knife
79.77,81.12,2019-05-02,2019-04-02,Technology,Provo,A reusable water bottle that harnesses the power of digital UV-C light to kill 99.999% of bacteria in your water and bottle.,124,"{48: 469, 56: 22, 68: 192, 89: 246, 132: 62, 139: 21, 159: 3, 192: 14, 362: 8}",0,0,$,10000,871.99,87199,1075,92,1,14,1037,13,7,Luma,16,1,UT,Funding Successful,The Luma Bottle | A Self-Cleaning Reusable Water Bottle
46.62,29.68,2019-05-02,2019-04-02,Product Design,Edinburgh,"Designed by writers, for writers, to help you tell your story!",62,"{1: 14, 5: 109, 18: 50, 19: 50, 20: 62, 22: 50, 24: 50, 25: 44, 28: 100, 38: 17, 48: 15, 54: 14, 66: 31}",0,7030,£,12000,151.84,18221,614,58,1,7,606,13,14,Write Gear,77,1,UK,Funding Successful,Page One - The Writer's Notebook
10.38,64.9,2019-05-02,2019-04-02,Children's Books,Placentia,"""Called to Be: Healers with Jesus"", is a children's book about helping children find their calling in medicine through mirroring Jesus.",135,"{5: 1, 15: 3, 25: 22, 35: 14, 50: 17, 100: 19, 150: 4, 250: 3}",0,1062,$,5000,116.82,5841,90,2,1,0,83,8,0,Team Bear Hugs,9,2,CA,Funding Successful,Called To Be: Healers with Jesus
1.89,21593.19,2019-05-02,2019-03-18,Product Design,Tokyo,"The delicate process of adjusting the seat height, backrest, and color of your chair is now easy as flipping a page.",116,"{1: 1, 3: 9, 49: 7, 69: 0, 119: 0, 579: 0}",1,2038,¥,300000,151.15,453457,21,0,1,0,17,9,1,Vanguard Industries Inc.,22,1,Japan,Funding Successful,PAGES | A Colorful Adjustable Chair
0.8,62.2,2019-05-02,2019-04-02,Film & Video,Manchester,"A dystopian psychological anthology film written around several 2-3 minute short films, all linked by the theme of the end of humanity.",135,"{10: 1, 25: 2, 50: 0, 150: 0, 250: 1}",0,1715,£,300,103.67,311,5,0,1,0,4,5,1,Retrograde,1,0,UK,Funding Successful,Retrograde
1.65,248.12,2019-05-01,2019-04-01,Sculpture,France,"A monumental sculpture made with thousands of porcelain scales

//// Une sculpture monumentale aux milliers d’écailles de porcelaine",132,"{20: 2, 40: 3, 65: 2, 115: 2, 130: 1, 200: 11, 260: 0, 320: 2, 500: 3, 550: 0, 750: 0, 950: 1, 1: 1, 3: 0, 4: 0, 5: 0}",0,2780,€,8000,105.45,8436,34,1,1,0,28,17,4,Julietteclovis,22,1,France,Funding Successful,A monumental porcelain sculpture by Juliette Clovis
0.0,1.0,2019-05-01,2019-03-22,Apps,Malaga,"DDiabetic es una app, para personas con diabetes, la cual les ayuda a llevar su día a día de una forma mas cómoda",113,{150: 0},0,2273,€,2500,0.04,1,1,0,First created,0,0,1,0,Alfonso,1,0,Spain,Cancelled by Creator,DDiabetic
172.17,65.94,2019-05-02,2019-04-02,Gadgets,Pymble,A 100% automatic ball to keep your pets company all day,55,"{2: 24, 34: 300, 41: 502, 48: 310, 69: 357, 76: 256, 82: 243, 103: 66, 333: 5, 340: 3}",0,7385,$,20000,1424.69,284938,4321,148,1,17,2066,12,6,Cheerble,75,1,AU,Funding Successful,Wicked Ball:Your Pet's First Automatic Companion by CHEERBLE
10.0,21.35,2019-05-01,2019-04-01,Musical,New York,A 10-Minute Musical in the Sound Bites 6.0 Festival,51,{8: 10},0,795,$,300,121.0,363,17,0,1,0,10,1,1,Talaura Harms,1,0,NY,Funding Successful,Book Lovers by Talaura Harms & Jonathan Bauerfeld
21.7,43.65,2019-05-02,2019-04-02,Accessories,Fishers,"A Virtual Troop to Develop Skills, Pursue Experiences, and Foster an Intersectional Community That Promotes Empathy, Courage, & Joy.",132,"{5: 14, 10: 29, 30: 36, 45: 87, 50: 24, 75: 11, 100: 7, 125: 7, 300: 1, 500: 1}",0,879,$,10000,116.55,11655,267,36,1,0,217,10,8,Kirsten Shaw,3,0,IN,Funding Successful,SLOTHICORNS: Transgender Scouts for All Genders & Ages
0.09,3.0,2019-05-01,2019-04-01,Product Design,San Jose,The most convenient way to tarp your pickup bed. Help us put a CargoTarp in the hands of every pickup truck owner.,114,"{1: 0, 5: 1, 25: 0, 149: 0}",0,1921,$,5000,0.12,6,2,0,First created,0,1,11,0,Lazy Loaderz LLC.,3,1,CA,Funding Unsuccessful,CargoTarp! The first all-in-one tarp and tie down system.
2.29,59.1,2019-05-02,2019-04-02,Product Design,Orlando,Dessert-themed handmade soap with natural ingredients,53,"{10: 2, 25: 3, 50: 4, 100: 7, 200: 0, 500: 0, 1: 0}",0,6359,$,15000,8.27,1241,21,0,First created,0,16,7,0,Crave Confectionery Soaps,1,0,FL,Funding Unsuccessful,A Different Soaping Experience: Crave Confectionery Soaps
1.6,19.82,2019-05-01,2019-04-01,Accessories,St. Louis,Tiny Enamel Pins To Show The World That You're Really Just A Fat Mermaid.,73,"{1: 0, 8: 8, 9: 0, 10: 0, 16: 2, 20: 0, 24: 2, 30: 0, 32: 4, 40: 0}",0,2700,$,1500,22.47,337,17,0,First created,0,16,10,0,Emmitt,1,0,MO,Funding Unsuccessful,Plump Pin Up Mermaid Pins
1.44,30.11,2019-05-01,2019-04-01,Apparel,Gloucester,"The funds raised from this campaign will help us to buy equipment, so we can print our clothing in house, to reduce processing time.",132,"{2: 1, 5: 1, 10: 3, 25: 4, 35: 1, 50: 2, 75: 0, 100: 1, 500: 0}",0,2343,£,2000,27.1,542,18,0,First created,0,13,9,1,Neal Broadbent,1,0,UK,Funding Unsuccessful,IWA - IWill Apparel Home Of Motivational Clothing
